"Commit","CommitHash","Date","Author","Subject","Area","File","Added","Deleted"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/architecture.md","50","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/build-state.md","36","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/comfy-integration.md","51","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/comfy-mcp-setup.md","42","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/csharp-conventions.md","31","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/fmod-integration.md","85","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/known-issues.md","34","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/mcp-setup.md","39","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claudeignore",".claudeignore","51","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack","CLAUDE.md","CLAUDE.md","45","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack","Packages","Packages/manifest.json","1","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Core","Assets/_Project/Scripts/Core/ComplianceVows/ClickCostInterceptor.cs","1","1"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Core","Assets/_Project/Scripts/Core/Desk42Services.cs","66","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Core","Assets/_Project/Scripts/Core/GameManager.cs","25","7"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Core","Assets/_Project/Scripts/Core/RumorMillListener.cs","44","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Core","Assets/_Project/Scripts/Core/RunStateController.cs","1","1"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Core","Assets/_Project/Scripts/Core/ShiftManager.cs","19","1"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Encounter","Assets/_Project/Scripts/Encounter/EncounterManager.cs","25","6"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/BossFight.meta","8","0"
